"Index","ID","Query","SmilesRan","Error","Exp_-Log10(mol/L)","Pred_Hierarchical clustering_-Log10(mol/L)","Pred_Single model_-Log10(mol/L)","Pred_Group contribution_-Log10(mol/L)","Pred_Nearest neighbor_-Log10(mol/L)","Pred_Consensus_-Log10(mol/L)"
"1","C_MTUBMTPWQGVXCG-UDDZTRNDSA-N","O=C([C@@H](CCC(N)=O)NC1=O)NCC(N2[C@@H](CCC2)C(N3[C@@H](CCC3)C(N[C@H]([C@@H](C)CC)C(N[C@@H](CO)C(N/C(C(N[C@@H]([C@@H](C)O)C(N[C@H](CCC4=CC=CC=C4)C(N5[C@@H](CCC5)C(NC(CC(OC([C@H](CC(C)C)N(C)C(C)=O)=O)CC(O)CC6=CC=CC=C6)C1O)=O)=O)=O)=O)=C/C)=O)=O)=O)=O)=O","O=C1NC(C(=O)NC(C(=O)N2CCCC2C(=O)NC(CC(OC(=O)C(N(C(=O)C)C)CC(C)C)CC(O)CC=3C=CC=CC3)C(O)C(=O)NC(C(=O)NCC(=O)N4CCCC4C(=O)N5CCCC5C(=O)NC(C(=O)NC(C(=O)NC1=CC)CO)C(C)CC)CCC(=O)N)CCC=6C=CC=CC6)C(O)C","","N/A","N/A","N/A","N/A","4.31","N/A"
"2","C_ODQWSGPULNHBGL-MCIOLPHXSA-N","O=C([C@@H](CCC(N)=O)NC1=O)NCC(N2[C@@H](CCC2)C(N3[C@@H](CCC3)C(N[C@H]([C@@H](C)CC)C(N[C@@H](CO)C(N/C(C(N[C@@H]([C@@H](C)O)C(N[C@H](CCC4=CC=C(OC)C=C4)C(N5[C@@H](CCC5)C(NC(CC(OC([C@H](CC(C)C)N(C)C(C)=O)=O)CC(O)CC6=CC=CC=C6)C1O)=O)=O)=O)=O)=C/C)=O)=O)=O)=O)=O","O=C1NC(C(=O)NC(C(=O)N2CCCC2C(=O)NC(CC(OC(=O)C(N(C(=O)C)C)CC(C)C)CC(O)CC=3C=CC=CC3)C(O)C(=O)NC(C(=O)NCC(=O)N4CCCC4C(=O)N5CCCC5C(=O)NC(C(=O)NC(C(=O)NC1=CC)CO)C(C)CC)CCC(=O)N)CCC6=CC=C(OC)C=C6)C(O)C","","N/A","N/A","N/A","N/A","4.31","N/A"
"3","C_QONBOMKYCJJCSL-WLKXNXGUSA-N","CCC([C@H]1C(N[C@@H]([C@@H](O)C)C(N[C@H](C(C)C)C(N[C@@H](C(C)C)C(N[C@@H](C(C)C)C(N[C@H](CC2=CC=CC=C2)C(N[C@@H](C(C)C)C(N/C(C(N[C@@H](CCCNC(N)=N)C(N[C@@H](CC3=CC=C(O)C=C3)C(N[C@@H](CCSC)C(N[C@@H](C(C)C)C(N[C@H]([C@H](O)C)C(N1)=O)=O)=O)=O)=O)=O)=C\C)=O)=O)=O)=O)=O)=O)=O)C","O=C1NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC1=CC)C(C)C)CC=2C=CC=CC2)C(C)C)C(C)C)C(C)C)C(O)C)C(C)CC)C(O)C)C(C)C)CCSC)CC3=CC=C(O)C=C3)CCCNC(=N)N","","N/A","N/A","N/A","N/A","4.11","N/A"
"4","24123-14-6","OC(CNCCN)=O","O=C(O)CNCCN","","N/A","3.59","2.35","3.21","2.30","2.86"
"5","C_OXQJFBVEKRZTDE-JTQLQIEISA-N","OC[C@@](O)(CC1=O)CC(NCCS(=O)(O)=O)=C1OC","O=C1C(OC)=C(NCCS(=O)(=O)O)CC(O)(CO)C1","","N/A","N/A","N/A","N/A","N/A","N/A"
"6","C_HEUSSFSVKKVAFQ-UODGXBKSSA-N","O[C@@H]1[C@@H](O)[C@H](O)[C@@H](CN)O[C@H]1OC[C@H](O)[C@H](O)[C@H](O)CC[C@H](C)[C@H]2C3CC[C@@]4(C)[C@]5(C)CCC6C(C)(C)CCC[C@]6(C)C5CCC4[C@@]3(C)CC2","OC(COC1OC(CN)C(O)C(O)C1O)C(O)C(O)CCC(C)C2CCC3(C)C2CCC4(C)C3CCC5C6(C)CCCC(C)(C)C6CCC54C","","N/A","5.33","4.82","5.49","4.95","5.15"
"7","C_LZMVCENJBDTSPS-VFHZWBAFSA-N","CCCCCCCCCCCCCC1=CC(=C(C(=C1)O[C@H]2[C@@H]([C@H]([C@@H](CO2)O)O)O)CCCCCC(CCCCCC)Cl)O","ClC(CCCCCC1=C(O)C=C(C=C1OC2OCC(O)C(O)C2O)CCCCCCCCCCCCC)CCCCCC","","N/A","6.64","6.28","5.40","5.68","6.00"
"8","C_OTVIJJKBILNRLT-WPQQXQCVSA-N","CCCCCCCCCCCC1=CC(=C(C(=C1)O[C@H]2[C@@H]([C@H]([C@@H](CO2)O)O)O)CCCCCC(CCCCCC)Cl)O","ClC(CCCCCC1=C(O)C=C(C=C1OC2OCC(O)C(O)C2O)CCCCCCCCCCC)CCCCCC","","N/A","6.44","6.11","5.20","5.68","5.86"
"9","C_SNZCABRUTZVTFC-KJIMCQFPSA-N","CCCCCCCCCC(CCCCCC1=CC(=C(C(=C1)O[C@H]2[C@@H]([C@H]([C@@H](CO2)O)O)O)CCCCCC(CCCCCC)Cl)O)Cl","ClC(CCCCCC1=C(O)C=C(C=C1OC2OCC(O)C(O)C2O)CCCCCC(Cl)CCCCCCCCC)CCCCCC","","N/A","6.96","6.71","5.70","5.68","6.26"
"10","C_IWIZOMWAHIZTOM-ZQWJTRQNSA-N","CCCCCCCCC(CCCCCC1=CC(=C(C(=C1)O[C@H]2[C@@H]([C@H]([C@@H](CO2)O)O)O)CCCCCC(CCCCCC)Cl)O)Cl","ClC(CCCCCC1=C(O)C=C(C=C1OC2OCC(O)C(O)C2O)CCCCCC(Cl)CCCCCCCC)CCCCCC","","N/A","6.77","6.63","5.60","5.68","6.17"
