"","Strain","max","min","mean","median","count"
"1","IL-208-2-2",0.96137339055794,0.96137339055794,0.96137339055794,0.96137339055794,1
"2","TAU NZ-3-1",0.955268389662028,0.890648193963385,0.924636156678383,0.927991886409737,3
"3","AV1",0.955004812319538,0.807851239669422,0.869175205715753,0.862745098039216,17
"4","n.a.",0.952133479212254,0.0595555555555555,0.447118735632102,0.393695920889988,1115
"5","UIC 10045",0.943488943488944,0.208305142083897,0.57589704278642,0.57589704278642,2
"6","PCC7310",0.928934010152284,0.928934010152284,0.928934010152284,0.928934010152284,1
"7","CENA352",0.921226415094339,0.919299951385513,0.920263183239926,0.920263183239926,2
"8","KAC 11",0.919113413932067,0.794943820224719,0.839906176860996,0.8227837366436,4
"9","BY1",0.91747572815534,0.909136799596163,0.913306263875752,0.913306263875752,2
"10","CCNP1402",0.91747572815534,0.909136799596163,0.913306263875752,0.913306263875752,2
"11","KAC70",0.916963830871115,0.886,0.905880444046932,0.91467750126968,3
"12","KAC87",0.916963830871115,0.886,0.905880444046932,0.91467750126968,3
"13","CCNP1411",0.911244292237443,0.180420982292014,0.717429524662902,0.808015235910878,6
"14","EAWAG 127a",0.910810810810811,0.910810810810811,0.910810810810811,0.910810810810811,1
"15","NIES-81",0.910569105691057,0.825277777777778,0.867923441734417,0.867923441734417,2
"16","CCNP1427",0.909136799596163,0.909136799596163,0.909136799596163,0.909136799596163,1
"17","CCNP1436",0.909136799596163,0.909136799596163,0.909136799596163,0.909136799596163,1
"18","KAC7",0.909136799596163,0.909136799596163,0.909136799596163,0.909136799596163,1
"19","KAC71",0.909136799596163,0.909136799596163,0.909136799596163,0.909136799596163,1
"20","SAG 36.9",0.906234778373113,0.883847980997625,0.895041379685368,0.895041379685368,2
"21","CBT599",0.899945622620989,0.899945622620989,0.899945622620989,0.899945622620989,1
"22","[Brasilonema]CENA360",0.895903479236813,0.895903479236813,0.895903479236813,0.895903479236813,1
"23","[Desmonostoc]CENA382",0.895903479236813,0.895903479236813,0.895903479236813,0.895903479236813,1
"24","ITEP-24",0.895522388059702,0.894043528064147,0.894782958061924,0.894782958061924,2
"25","NIES-I02",0.889666960741067,0.889666960741067,0.889666960741067,0.889666960741067,1
"26","202
A2/41",0.87933561309233,0.87933561309233,0.87933561309233,0.87933561309233,1
"27","CBT344",0.878423040604344,0.12869094488189,0.379389372180121,0.131054131054131,3
"28","CBT163",0.876124933827422,0.822273781902552,0.849199357864987,0.849199357864987,2
"29","NRC 525-17",0.874760994263863,0.0455991516436905,0.293476038859253,0.126772004764729,4
"30","CCY941",0.868075117370892,0.816696113074205,0.85010856520234,0.865554465161924,3
"31","KAC 66",0.86783651710351,0.137050653594771,0.617860818964522,0.848695286195286,3
"32","CY9414 and CH307",0.867336152219873,0.839055793991416,0.853195973105645,0.853195973105645,2
"33","CCNP 1411 (GenBank accession number KJ161445)",0.862948960302457,0.138244737780949,0.360552149797292,0.173715352681697,14
"34","UWOCC CBS",0.860466395336047,0.860466395336047,0.860466395336047,0.860466395336047,1
